data;dataTitolo;url;titolo
2026-01-01;1 gennaio;https://www.youtube.com/watch?v=IYsH9jgiLHE;Grazie dei fior - Nilla Pizzi (canzone)
2026-01-01;1 gennaio;Grazie dei fiori, Nilla Pizzi.docx;Grazie dei fiori - Nilla Pizzi (testo)
2026-01-02;2 gennaio;https://www.youtube.com/watch?v=-5VuOakcqNI;Malafemmena - Totò (canzone)
2026-01-02;2 gennaio;Malafemmena, Totò.docx;Malafemmena, Totò (testo)
2026-01-03;3 gennaio;https://www.youtube.com/watch?v=egJmnlsDJaM;Arrivederci Roma (canzone)
2026-01-03;3 gennaio;Arrivederci Roma, 1955.docx;Arrivederci Roma, 1955 (testo)
2026-01-04;4 gennaio;https://www.youtube.com/watch?v=BqlJwMFtMCs; Tu vuò fà l’americano (canzone)
2026-01-04;4 gennaio;Tu vuò fà l’americano, 1956.docx;Tu vuò fà l’americano, 1956 (testo)
2026-01-05;5 gennaio;https://www.youtube.com/watch?v=u99ivDAqwSM;Domenico Modugno 'Volare (Nel blu, dipinto di blu)' (canzone)
2026-01-05;5 gennaio;Domenico Modugno.docx;Domenico Modugno 'Volare (Nel blu, dipinto di blu)' (testo)
2026-01-06;6 gennaio;https://www.youtube.com/watch?v=CkREzpcVc7c;Fred Buscaglione 'Eri piccola così' (canzone)
2026-01-06;6 gennaio;Eri piccola così, 1958.docx;Fred Buscaglione 'Eri piccola così' (testo)
2026-01-07;7 gennaio;https://www.youtube.com/watch?v=IwgZAKHcnNE;Il tuo bacio e come un rock (canzone)
2026-01-07;7 gennaio;Il tuo bacio è come un rock (1958).docx;Il tuo bacio e come un rock (testo)
2026-01-08;8 gennaio;https://www.youtube.com/watch?v=n0enVNAU5sY;Piove (Ciao, Ciao Bambina) (canzone)
2026-01-08;8 gennaio;Piove (ciao ciao bambina), 1959.docx;Piove (Ciao, Ciao Bambina) (testo)
2026-01-09;9 gennaio;;
2026-01-09;9 gennaio;;
